ayacucho,caicara,ciudad_bolivar,palua
45.86,27.52,9.41,6.07
45.87,27.52,9.34,5.96
45.82,27.52,9.31,5.89
45.77,27.49,9.25,5.51
45.71,27.43,9.14,5.31
45.63,27.34,9.07,5.17
45.52,27.23,8.99,5.07
45.37,27.12,8.92,4.97
45.37,27.00,8.81,4.88
45.28,26.86,8.68,4.77
45.20,26.71,8.56,4.72
45.14,26.58,8.43,4.65
45.04,26.50,8.35,4.72
44.95,26.41,8.21,4.75
44.79,26.38,8.09,4.77
44.68,26.28,7.93,4.63
44.50,26.13,7.79,4.50
44.36,25.98,7.64,4.21
44.19,25.88,7.47,3.97
43.94,25.78,7.31,3.79
43.75,25.63,7.17,3.69
43.61,25.48,7.01,3.57
43.54,25.28,6.80,3.41
43.33,25.08,6.73,3.35
43.26,24.88,6.66,3.29
43.08,24.68,6.54,3.26
42.94,24.58,6.39,3.24
42.84,24.38,6.16,3.00
42.76,24.18,5.97,2.87
42.66,24.08,5.79,2.63
42.48,23.98,5.61,2.40
42.33,23.78,5.45,2.33
42.26,23.78,5.30,2.31
42.11,23.68,5.17,2.20
42.01,23.58,5.03,2.13
41.96,23.48,4.90,2.05
41.81,23.38,4.82,1.99
41.75,23.18,4.69,1.95
41.70,23.08,4.58,1.85
41.66,23.03,4.52,1.80
41.64,22.98,4.52,1.83
41.65,22.93,4.53,1.87
41.73,22.88,4.52,1.89
41.77,22.83,4.46,1.91
41.87,22.78,4.39,1.88
41.91,22.78,4.30,1.83
41.87,22.83,4.25,1.80
41.87,22.83,4.19,1.73
41.87,22.88,4.26,1.75
41.87,22.88,4.40,1.81
41.86,22.93,4.50,1.86
41.86,22.88,4.48,1.88
41.86,22.88,4.38,1.83
41.86,22.83,4.26,1.76
41.84,22.78,4.11,1.79
41.77,22.73,4.00,1.86
41.68,22.73,3.92,1.87
41.58,22.73,3.91,1.94
41.53,22.68,3.91,1.97
41.41,22.63,3.86,1.86
41.27,22.58,3.78,1.76
41.16,22.48,3.68,1.76
41.11,22.38,3.58,1.75
41.06,22.38,3.50,1.65
40.96,22.28,3.42,1.57
40.90,22.23,3.35,1.58
40.84,22.18,3.30,1.46
40.66,22.13,3.26,1.42
40.56,22.13,3.21,1.38
40.54,22.08,3.15,1.36
40.52,21.98,3.10,1.33
40.50,21.93,3.05,1.36
40.50,21.88,3.00,1.33
40.50,21.88,2.95,1.20
40.40,21.83,2.90,1.15
40.41,21.78,2.85,1.15
40.34,21.77,2.80,1.23
40.31,21.66,2.76,1.13
40.31,21.57,2.71,1.13
40.31,21.48,2.67,1.03
40.28,21.41,2.63,0.94
40.28,21.37,2.59,0.93
40.28,21.33,2.55,0.93
40.28,21.30,2.52,0.91
40.25,21.28,2.48,1.00
40.25,21.27,2.45,1.04
40.25,21.26,2.42,1.15
40.25,21.21,2.39,1.17
40.25,21.15,2.35,1.15
40.25,21.14,2.33,1.14
40.25,21.15,2.31,1.11
,,,
40.25,21.16,2.29,1.10
40.25,21.18,2.28,1.10
40.34,21.19,2.26,1.03
40.39,21.20,2.25,0.93
40.41,21.20,2.25,0.81
40.46,21.23,2.27,0.80
40.52,21.27,2.29,0.96
40.57,21.32,2.30,0.96
40.65,21.38,2.33,1.00
40.73,21.46,2.35,1.02
40.75,21.52,2.40,1.05
40.77,21.57,2.43,1.17
40.75,21.63,2.48,1.15
40.68,21.67,2.54,1.17
40.68,21.74,2.60,1.09
40.64,21.79,2.62,1.00
40.55,21.74,2.64,1.02
40.48,21.69,2.65,1.00
40.45,21.64,2.65,0.98
40.41,21.59,2.64,0.93
40.40,21.54,2.62,1.00
40.45,21.49,2.58,1.01
40.50,21.45,2.55,0.99
40.61,21.41,2.53,1.05
40.71,21.44,2.51,1.06
40.81,21.47,2.50,1.07
40.88,21.50,2.49,1.03
40.97,21.53,2.49,1.03
41.04,21.63,2.49,1.03
41.09,21.74,2.50,1.03
41.14,21.82,2.50,1.05
41.20,21.92,2.59,1.07
41.24,21.97,2.67,0.99
41.28,22.03,2.73,0.97
41.34,22.10,2.77,0.97
41.40,22.17,2.85,0.98
41.46,22.29,2.94,1.01
41.50,22.40,3.02,1.05
41.55,22.51,3.13,1.21
41.59,22.51,3.17,1.23
41.63,22.51,3.23,1.25
41.64,22.50,3.26,1.25
41.61,22.50,3.28,1.25
41.60,22.50,3.30,1.26
41.53,22.48,3.31,1.27
41.48,22.43,3.32,1.17
41.46,22.39,3.33,1.42
41.42,22.34,3.33,1.32
41.34,22.28,3.32,1.45
41.29,22.20,3.28,1.43
41.21,22.14,3.22,1.37
41.09,22.10,3.16,1.33
41.00,22.07,3.10,1.33
41.02,22.04,3.04,1.34
41.10,22.00,2.98,1.35
41.14,21.94,2.94,1.33
41.19,21.91,2.90,1.27
41.28,21.90,2.89,1.22
41.32,21.95,2.88,1.21
41.50,22.02,2.88,1.25
41.62,22.09,2.90,1.18
41.70,22.18,2.96,1.23
41.92,22.31,3.05,1.25
42.11,22.43,3.13,1.25
42.46,22.63,3.22,1.29
42.76,22.83,3.33,1.36
43.01,23.15,3.47,1.42
